Pupils,Girls,Boys,Gross_salary_year,Total_Teachers,Total_Teaching_Assistants ,Non_classroom_based_support,Full_Time_Teachers,Pupil_Teacher_Ratio,Grammer_score_AVERAGE,Math_score_AVERAGE,Reading_score_AVERAGE,School_Phase
450,51.8,48.2,39638,24,15,6,23.8,18.9,110,107,105,Primary
141,49.6,50.4,40224,12,8,5,12,11.8,100,100,98,Primary
200,51,49,38119,16,9,4,16,12.5,102,102,103,Primary
437,49,51,39938,22,18,5,21.1,20.4,,,,Primary
362,44.2,55.8,42044,27,4,5,26.6,13.6,101,101,101,Secondary
127,100,0,36804,27,8,9,13.6,9.4,107,105,104,Secondary
157,100,0,34765,16,13,6,11.6,13.5,104,103,101,Primary
121,0,100,29924,11,3,3,7.4,16.4,0,0,0,Primary
612,50,50,44121,38,43,14,38,16.1,106,105,104,Primary
873,47.8,52.2,46893,48,64,19,48,18,108,104,106,Primary
409,49.6,50.4,45350,27,31,6,25.4,16.1,107,106,104,Primary
242,47.9,52.1,47980,18,21,6,15.6,15.4,104,102,102,Primary
553,47.2,52.8,45974,30,36,17,27,20.1,108,106,106,Primary
345,49.6,50.4,43884,33,15,5,27.7,12.5,106,104,106,Primary
341,42.8,57.2,46060,20,25,10,19.4,17.6,109,105,107,Primary
430,51.6,48.4,43406,31,29,10,28.5,14.6,111,109,107,Primary
353,53.8,46.2,46341,24,20,6,22.4,15.8,108,105,106,Primary
462,47.2,52.8,47570,29,31,11,27.6,16.4,105,99,101,Primary
363,43.8,56.2,51147,27,28,10,24,14.8,106,105,104,Primary
218,49.5,50.5,48661,13,13,5,12.4,16.8,106,104,104,Primary
327,48.6,51.4,45433,23,25,8,21,15.2,109,107,107,Primary
428,46,54,47389,25,22,11,23.2,18.3,105,104,105,Primary
244,49.6,50.4,44109,15,15,6,14.2,17.2,104,100,104,Primary
270,48.1,51.9,48067,13,20,3,11.7,19.4,105,103,102,Primary
446,46,54,42813,24,24,11,23.2,19,105,104,103,Primary
672,47.3,52.7,45958,44,34,13,40.3,16,107,104,104,Primary
388,43,57,43872,25,26,6,22.2,17.1,,,,Primary
208,51.9,48.1,45329,15,16,5,13.4,15.1,,,,Primary
353,48.4,51.6,46955,17,17,18,16.6,20.1,,,,Primary
395,51.1,48.9,47318,25,15,10,22.3,17.1,,,,Primary
443,45.8,54.2,46069,26,27,9,24,18.1,,,,Primary
687,51.1,48.9,44936,40,32,16,36.9,18.5,98,97,98,Primary
350,48.9,51.1,46470,25,14,8,23.4,14.4,101,104,99,Primary
219,50.2,49.8,43680,13,11,2,13,16.3,105,105,104,Primary
449,48.1,51.9,44428,23,23,8,22.4,19.5,109,106,106,Primary
509,49.5,50.5,49402,32,19,10,29.3,17.4,104,104,103,Primary
438,52.5,47.5,44229,26,22,9,24.2,18.1,103,102,101,Primary
230,47.8,52.2,49349,15,17,9,13.2,17.4,103,104,103,Primary
351,46.4,53.6,47197,16,17,6,14.7,20.9,112,109,106,Primary
410,53.2,46.8,44732,23,21,18,22.2,18.5,106,104,104,Primary
174,50.6,49.4,49419,12,20,5,12,13.8,105,101,103,Primary
291,45,55,43799,18,15,14,17.2,16.7,105,103,103,Primary
421,48.9,51.1,45109,25,38,14,22.6,18.5,101,101,101,Primary
223,52.9,47.1,49089,16,12,5,14.4,15,,,,Primary
480,53.5,46.5,43183,31,39,9,27.7,17.1,104,104,104,Primary
230,47.4,52.6,50761,12,9,7,10.6,20.4,108,102,103,Primary
431,47.6,52.4,48426,27,21,9,23.4,17.9,102,101,99,Primary
165,50.9,49.1,45489,14,12,6,12.2,13.4,102,100,101,Primary
189,49.7,50.3,44617,13,13,6,11.1,16.8,109,108,109,Primary
186,58.1,41.9,52499,8,15,3,7.2,25.8,,,,Primary
188,46.8,53.2,48029,9,11,3,9,20.9,106,105,106,Primary
215,52.1,47.9,41028,13,11,7,13,16.5,108,106,106,Primary
271,46.1,53.9,48121,17,19,4,15.3,17.1,107,105,107,Primary
224,52.7,47.3,42330,13,14,5,12.5,17.9,103,101,102,Primary
185,44.9,55.1,41350,14,13,5,11.4,16.2,104,103,101,Primary
